Date, Close/Last, Volume, Open, High, Low
01/24/2020, $48.93, 4248295, $49.63, $49.69, $48.7
01/23/2020, $49.85, 4581735, $49.02, $49.91, $49
01/22/2020, $49.88, 4748151, $49.99, $50.21, $49.61
01/21/2020, $49.21, 6423301, $49.71, $49.82, $49.15
01/17/2020, $51.6, 1846161, $51.45, $51.62, $51.35
01/16/2020, $51.55, 2269789, $51.37, $51.72, $51.36
01/15/2020, $51.17, 3149385, $51.38, $51.43, $51.07
01/14/2020, $51.39, 3395153, $51.55, $51.6, $51.23
01/13/2020, $52.31, 4920717, $51.99, $52.51, $51.96
01/10/2020, $51.43, 5373212, $51.18, $51.67, $51.1
01/09/2020, $50.48, 2873970, $49.99, $50.49, $49.9
01/08/2020, $49.65, 2925195, $49.21, $49.99, $49.18
01/07/2020, $49.78, 4667029, $49.54, $49.98, $49.19
01/06/2020, $48.77, 4712077, $48.333, $48.8, $48.3
01/03/2020, $49.03, 2728505, $48.8, $49.28, $48.8
01/02/2020, $49.88, 4293244, $49.2, $49.89, $49.2
12/31/2019, $48.01, 1931284, $48.43, $48.43, $47.69
12/30/2019, $48.62, 2571813, $49.02, $49.15, $48.52
12/27/2019, $49.24, 2065851, $49.1, $49.36, $49.08
12/26/2019, $48.805, 1584330, $48.49, $48.87, $48.418
12/24/2019, $48.34, 572633, $48.34, $48.45, $48.31
12/23/2019, $48.46, 1739200, $48.39, $48.49, $48.2
12/20/2019, $48.15, 4489136, $48.17, $48.33, $48.1
12/19/2019, $48.29, 3783109, $47.97, $48.31, $47.95
12/18/2019, $48.43, 3425211, $48.25, $48.57, $48.21
12/17/2019, $47.68, 6891978, $47.42, $47.96, $47.38
12/16/2019, $46.36, 3049995, $46.15, $46.69, $46.15
12/13/2019, $45.84, 5258281, $45.98, $47, $45.71
12/12/2019, $45.78, 7248620, $44.69, $45.89, $44.66
12/11/2019, $43.96, 3482161, $43.54, $44.04, $43.46
12/10/2019, $43.08, 2703608, $42.97, $43.24, $42.802
12/09/2019, $42.55, 2507761, $42.73, $42.97, $42.52
